HIP     Vmag    RA             DE       Plx     pmRA     pmDE   e_Plx   B-V
3369    6.63    10.711497   -9.921639   24.48   -26.97  -21.33  0.91    0.529
3391    7.88    10.802331   -37.982353  22.70   50.46   -114.46 0.99    0.716
3428    10.97   10.922355   23.885757   23.62   91.71   -186.70 2.28    1.320
3509    6.90    11.199058   67.158321   21.80   217.29  -57.56  0.62    0.492
3527    6.15    11.248836   -53.714900  22.09   223.40  2.20    0.65    0.524
3540    7.01    11.295022   0.253407    24.27   263.71  -52.28  0.88    0.537
3551    9.93    11.340305   16.984395   20.12   179.82  -63.91  1.64    0.960
3587    7.54    11.448401   66.492842   23.10   2.92    -57.25  0.78    0.545
3589    7.63    11.461630   54.978013   20.56   95.62   -76.91  1.69    0.517
3633    9.92    11.641352   14.325589   21.51   203.99  -56.23  1.44    0.814
3641    6.39    11.659293   69.325371   24.65   166.87  15.31   0.59    0.424
3724    11.73   11.951857   6.031990    20.55   54.89   -33.70  3.61    1.400
3930    10.15   12.613796   59.502731   21.34   161.26  -161.14 1.66    0.909
4010    9.71    12.861334   -43.590657  20.84   63.78   25.83   1.61    0.857
4041    8.45    12.956579   78.625775   24.87   158.60  -5.26   0.82    0.780
4120    8.50    13.195597   9.803581    23.39   -32.77  -49.48  2.04    0.400
4127    6.76    13.215928   40.245442   23.82   -91.08  52.37   0.87    0.595
4194    8.92    13.395191   -22.203334  21.15   212.68  -99.55  1.37    0.722
4205    7.19    13.418159   43.363705   22.41   282.48  -129.39 1.63    0.622
4291    6.68    13.747963   -74.302634  20.41   125.74  114.51  0.58    0.987
4310    7.92    13.799435   -16.971081  20.24   -130.36 -196.70 1.19    0.991
4312    10.62   13.800465   0.932958    23.01   -228.80 -127.30 1.81    1.150
4393    7.53    14.071556   52.491233   24.39   202.53  1.74    0.87    0.667
4394    10.10   14.080133   -65.445350  20.42   257.74  -223.46 1.21    0.942
4395    7.17    14.086786   -63.958787  22.34   316.15  165.78  0.65    0.808
4436    3.86    14.187907   38.499255   23.93   152.78  36.82   1.22    0.130
4448    8.99    14.230759   -51.875544  22.95   97.90   11.31   2.16    1.020
4478    9.45    14.334854   -1.815564   20.88   -249.29 -182.75 1.26    0.854
4482    10.00   14.359748   -39.858509  21.29   187.10  -37.23  1.74    0.987
4617    7.86    14.810534   83.102924   21.38   82.03   -96.02  0.71    0.557
4643    10.56   14.902862   -13.978964  20.85   210.21  22.59   2.04    1.086
4699    10.06   15.094161   -13.599201  23.96   -103.65 -92.29  1.65    1.047
4727    9.56    15.172868   14.840681   20.54   224.10  -30.90  1.42    0.877
4747    7.34    15.257317   -4.648264   24.76   0.13    -56.20  0.86    0.547
4772    6.91    15.328935   -60.860386  22.23   73.14   98.11   0.64    0.650
4868    6.88    15.648212   27.747932   22.39   76.54   8.14    0.87    0.448
4874    9.84    15.665018   -25.308342  22.04   281.85  -40.64  1.68    0.919
4882    7.70    15.683459   -47.287258  20.35   -35.05  -132.50 0.78    0.591
4900    10.81   15.718225   47.047611   24.14   396.35  -177.02 2.69    1.470
4966    8.44    15.914661   82.100898   22.56   -174.80 -62.41  0.73    0.600
5034    6.20    16.114874   29.659099   23.82   85.10   -120.26 0.87    0.443
5054    7.72    16.167828   -39.486935  24.80   -168.97 -527.71 0.89    0.613
5114    10.08   16.384181   -66.743060  22.78   -3.19   275.37  1.20    0.964
5141    6.35    16.455093   4.908662    21.87   11.75   -119.26 1.03    0.383
5144    7.26    16.464240   4.909718    22.69   35.56   -126.70 1.03    0.484
5158    10.16   16.508003   -22.452892  22.32   201.83  -107.22 2.12    1.078
5176    8.15    16.552217   13.252787   20.84   165.22  -14.32  1.00    0.656
5191    9.50    16.608722   -14.296188  20.01   100.17  -95.16  1.32    0.907
5253    7.02    16.795620   -1.732083   20.28   71.42   0.76    1.29    0.560
5266    11.43   16.817872   -63.394628  20.54   170.57  60.41   1.50    1.540
5273    10.58   16.851366   69.879427   21.01   332.81  -168.29 1.61    1.009
5296    5.71    16.942168   -9.785592   20.97   149.04  16.99   0.66    0.446
5310    5.56    16.987958   20.739321   20.23   85.43   -85.81  0.81    0.121
5315    6.44    16.998252   1.994094    21.53   143.39  -432.84 0.83    0.847
5319    6.23    17.005018   32.012192   23.87   203.71  -25.62  0.78    0.398
5389    9.10    17.240862   -30.929025  21.57   211.50  -104.33 1.27    0.764
5462    8.80    17.485876   -64.359233  20.21   -3.11   9.60    0.84    0.672
5527    9.08    17.685560   10.999719   20.00   221.00  46.93   1.33    0.771
5542    4.34    17.774711   55.149948   23.73   226.62  -19.34  0.68    0.170
5578    7.48    17.883744   -12.842915  24.65   -29.86  -69.09  0.91    0.589
5586    4.51    17.914945   30.089730   20.11   74.29   -37.61  0.87    1.092
5644    7.74    18.124238   -9.223688   22.01   386.87  -9.86   0.96    0.687
5684    7.24    18.274262   41.654394   22.36   314.65  -37.54  0.79    0.770
5687    11.21   18.290284   19.712749   23.99   15.97   -208.54 2.45    
5697    8.95    18.328914   -1.861945   21.71   -202.02 -69.35  1.25    0.685
5737    5.21    18.432510   7.575489    22.09   141.66  -55.62  2.04    0.320
5745    8.47    18.452612   -50.655386  23.55   165.63  -82.05  1.01    0.446
5784    7.18    18.543673   58.812446   23.31   18.85   -47.50  0.86    0.546
5833    5.70    18.704919   -0.974294   22.79   -14.55  205.45  0.80    0.428
5895    8.25    18.937290   -53.715739  20.84   115.03  25.77   0.88    0.646
5965    9.97    19.177982   24.502336   20.47   -58.80  -201.42 1.68    1.022
5970    11.97   19.185476   44.671331   20.57   211.94  -98.70  3.96    
6022    7.88    19.344598   -5.632508   20.42   159.04  -18.11  0.97    0.556
6075    11.54   19.496615   -48.150556  24.57   213.03  101.86  4.46    1.447
6237    6.65    20.012387   -9.883602   20.54   27.81   -75.90  0.92    0.405
6271    7.00    20.115638   -57.338733  20.28   174.56  88.85   0.82    0.545
6278    10.62   20.137260   38.333150   21.41   15.63   -48.23  2.42    1.108
6309    7.83    20.265717   38.034163   20.25   277.69  17.65   1.17    0.661
6431    9.50    20.651504   12.750926   23.84   403.31  9.37    2.11    1.024
6454    7.30    20.736256   7.418699    22.13   94.39   230.73  0.99    0.829
6483    9.88    20.827316   -66.172734  24.89   325.67  106.81  1.09    1.003
6485    8.53    20.838142   -57.480659  20.29   92.99   -36.93  0.93    0.705
6494    8.37    20.856737   -76.611732  20.73   100.61  -20.95  0.70    0.656
6527    6.59    20.961761   17.818444   20.42   76.16   -41.17  0.78    0.403
6551    6.85    21.050790   -31.811777  20.01   165.45  -76.58  0.87    0.569
6564    5.92    21.085354   -6.914669   22.33   31.05   5.12    0.95    0.407
6607    8.29    21.204147   -27.838375  24.75   320.92  -275.98 1.22    0.684
6643    7.12    21.301454   28.567079   22.65   252.59  -158.59 0.82    0.577
6660    10.29   21.368489   12.156195   22.05   -165.18 -198.28 1.89    1.060
6705    11.96   21.557218   13.816477   21.25   -108.81 -116.35 7.75    1.365
6711    5.98    21.577496   43.457886   24.21   108.31  -60.45  0.74    0.520
6744    8.41    21.705117   -29.474506  24.51   26.25   -189.60 0.99    0.725
6776    6.27    21.775895   34.377578   23.45   160.89  -10.75  0.75    0.453
6795    9.14    21.863460   -25.936563  24.14   -26.87  -141.31 1.07    0.860
6862    6.90    22.079648   30.557843   22.52   41.72   -61.28  0.78    0.505
6890    9.29    22.184722   31.611075   24.16   371.63  64.77   1.30    1.000
6913    8.40    22.255183   86.933066   23.97   -13.05  10.65   0.75    0.708
6943    7.18    22.359756   42.282051   22.04   137.38  -62.11  0.78    0.453
6975    7.62    22.452853   23.690562   21.66   -49.52  -49.57  1.08    0.556
6978    7.93    22.463379   31.007333   23.40   226.61  0.99    1.03    0.710
7037    8.69    22.685087   50.666028   21.03   -105.03 -97.00  1.20    0.734
7076    8.15    22.795906   -9.312064   22.17   60.73   -71.08  0.98    0.630
7083    3.93    22.812423   -49.073077  22.15   138.22  154.20  0.61    0.972
7090    7.32    22.830857   29.413304   23.18   177.63  -88.59  0.92    0.622
7158    8.46    23.067525   -18.566037  22.07   38.56   -56.97  2.88    0.679
7183    7.78    23.136649   -49.528004  20.49   150.93  -54.47  0.81    0.641
7287    11.03   23.472117   27.236277   21.63   486.92  -210.93 2.34    1.200
7290    9.88    23.480113   -55.523142  22.36   -41.50  -197.50 2.04    1.072
7296    9.98    23.495490   -10.423863  20.73   -14.77  -213.38 1.95    0.958
7333    10.73   23.603017   65.963788   24.48   -170.82 39.68   1.95    1.170
7370    6.74    23.742165   33.118190   20.91   -34.06  -134.22 0.90    0.634
7387    6.03    23.811290   -58.139394  24.72   284.01  -33.05  0.54    0.382
7420    10.97   23.906500   42.039337   23.86   119.08  -197.22 2.07    1.283
7425    10.47   23.917583   -50.261801  20.47   231.39  52.33   4.74    1.336
7426    8.83    23.919763   -65.293534  20.46   61.64   -64.52  0.84    0.761
7429    7.85    23.924260   -55.238441  20.82   148.23  188.41  0.79    0.556
7446    7.15    23.970427   -17.531977  23.30   277.54  -201.11 0.86    0.712
7467    8.83    24.042201   -29.392357  21.22   -56.85  3.78    1.32    0.761
7564    6.99    24.355127   25.168274   23.80   -211.25 -207.66 0.86    0.900
7588    0.45    24.428132   -57.236660  22.68   88.02   -40.08  0.57    -0.158
7626    9.40    24.558431   17.829810   20.45   251.64  -160.64 1.51    0.810
7670    8.71    24.694243   63.716647   20.40   97.20   28.23   3.32    0.870
7699    7.08    24.781368   -56.429299  20.37   91.46   -30.56  0.61    0.466
7743    9.87    24.923974   -46.509735  24.92   17.17   -88.92  1.52    1.151
7744    8.53    24.926077   65.160031   22.58   -48.96  252.99  1.05    0.773
7759    7.85    24.976913   -9.972459   21.16   239.06  89.85   0.96    0.607
7799    9.13    25.093014   -10.444364  20.01   219.02  -39.82  1.72    0.695
7817    11.60   25.142788   -30.727604  24.10   495.99  -353.03 2.54    1.607
7830    8.92    25.183597   15.619518   24.18   180.64  -28.69  1.26    0.905
7858    11.64   25.265384   -43.635593  23.70   -56.85  -213.45 2.56    1.408
7860    8.09    25.278081   3.713635    23.73   -109.51 107.06  0.93    0.735
7886    6.20    25.363685   -38.132964  23.87   50.23   56.51   0.65    0.404
7930    10.28   25.487784   17.058110   21.40   -219.38 -57.26  1.83    1.160
7949    7.53    25.525434   69.086020   21.08   183.98  -7.67   0.68    0.586
7961    7.45    25.560728   -17.888835  20.45   548.81  11.38   0.99    0.617
7990    8.40    25.654124   -58.413057  22.59   22.40   -38.03  0.82    0.714
8035    9.13    25.796793   -58.009669  24.30   -149.96 -187.83 2.10    0.874
8038    10.12   25.808926   -21.615632  22.11   58.75   -18.27  14.43   1.158
8067    10.61   25.912488   28.055999   20.23   254.13  0.88    6.05    1.035
8078    8.51    25.937314   9.568774    21.20   -46.85  -46.21  3.47    0.820
8109    7.27    26.058869   54.886484   22.38   -50.14  -20.97  0.87    0.601
8128    8.74    26.120282   -33.842487  21.09   94.37   -74.90  1.17    0.685
8220    10.13   26.460976   -11.329490  24.49   126.01  -312.19 1.95    1.104
8233    6.38    26.504143   -27.348722  23.16   97.86   -45.12  0.81    0.366
8398    7.13    27.084421   -41.495437  22.16   413.82  153.07  0.77    0.637
8489    11.17   27.361362   17.783561   20.53   22.97   -207.75 2.43    
8498    7.93    27.398006   -46.768930  20.46   22.00   106.90  0.91    0.664
8548    7.07    27.563815   -6.704183   23.26   226.10  37.88   0.90    0.569
8582    8.96    27.688127   55.919052   20.29   251.33  -91.09  1.25    0.780
8588    5.92    27.716725   11.043446   23.46   -69.33  -27.84  1.02    0.302
8598    5.96    27.737869   51.933698   22.42   41.16   -115.50 0.67    0.419
8631    11.48   27.833990   -38.009988  21.97   140.61  198.05  5.74    1.343
8653    8.61    27.879742   -7.739894   22.83   92.86   -3.99   1.33    0.644
8687    11.48   27.941418   -54.965814  20.13   279.27  -13.32  5.96    1.388
8753    10.08   28.150791   36.342979   20.46   128.69  -181.06 1.51    1.095
8775    11.48   28.213507   4.832764    21.01   110.16  -24.61  3.33    1.315
8825    10.35   28.365926   73.963711   23.06   545.54  -171.84 1.35    1.131
8830    9.31    28.380999   -21.252125  24.12   6.75    -249.05 1.34    0.988
8859    6.77    28.490802   10.614721   23.97   -185.12 -285.60 0.97    0.468
8946    12.49   28.807768   7.146407    22.93   84.60   -60.35  5.47    1.340
8958    9.36    28.841750   2.956818    23.17   -7.77   -55.38  3.02    0.940
8983    6.07    28.943608   -60.861137  21.50   14.17   66.77   0.53    0.356
8991    6.15    28.959378   -78.348677  24.20   103.01  53.05   0.51    0.448
9059    9.62    29.160189   43.913006   22.05   -201.23 -103.09 1.45    0.920
9067    11.62   29.182608   29.810731   20.02   -133.25 48.24   3.09    1.686
9127    9.19    29.416312   -5.232933   24.79   196.47  -204.88 1.45    0.953
9141    8.07    29.453802   -21.901362  23.61   103.86  -50.89  1.03    0.651
9151    6.87    29.480758   40.760815   22.65   123.81  -86.89  0.79    0.499
9153    4.79    29.482398   23.596096   24.49   -91.51  -14.45  0.78    0.290
9349    7.99    30.022118   -13.546062  22.80   48.68   -20.91  1.18    0.660
9400    8.93    30.197706   -80.532368  24.32   -67.30  -141.86 0.85    0.797
9404    8.76    30.202588   -12.875268  23.80   218.63  117.76  1.21    0.746
9414    6.84    30.236395   -78.870168  21.86   120.93  -57.67  0.53    0.576
9463    10.16   30.449293   13.024505   24.83   -128.28 -146.27 1.91    1.190
